真实浓度_logit,真实浓度_百分比,假阳性概率,假阴性概率,正确检测概率,距离阈值
-5.0,0.0066928509242848554,0.0,0.0,1.0,1.8219461696520547
-4.94949494949495,0.007037115364564376,0.0,0.0,1.0,1.7714411191470045
-4.898989898989899,0.007398956049719674,0.0,0.0,1.0,1.7209360686419535
-4.848484848484849,0.0077792564202182855,0.0,0.0,1.0,1.6704310181369033
-4.797979797979798,0.008178942856282161,0.0,0.0,1.0,1.6199259676318523
-4.747474747474747,0.008598986610189428,0.0,0.0,1.0,1.569420917126802
-4.696969696969697,0.009040405808933128,0.0,0.0,1.0,1.518915866621752
-4.646464646464646,0.009504267527927615,0.0,0.0,1.0,1.4684108161167009
-4.595959595959596,0.009991689936208048,0.0,0.0,1.0,1.4179057656116507
-4.545454545454546,0.010503844513285416,0.0,0.0,1.0,1.3674007151066006
-4.494949494949495,0.011041958337494755,0.0,0.0,1.0,1.3168956646015495
-4.444444444444445,0.011607316445304631,0.0,0.0,1.0,1.2663906140964993
-4.393939393939394,0.012201264260636085,0.0,0.0,1.0,1.2158855635914483
-4.343434343434343,0.012825210092764685,0.0,0.0,1.0,1.1653805130863981
-4.292929292929293,0.013480627700845831,0.0,0.0,1.0,1.114875462581348
-4.242424242424242,0.014169058922504333,0.0,0.0,1.0,1.064370412076297
-4.191919191919192,0.01489211636326034,0.0,0.0,1.0,1.0138653615712467
-4.141414141414142,0.015651486142818367,0.0,0.0,1.0,0.9633603110661966
-4.090909090909091,0.016448930693417962,0.0,0.0,1.0,0.9128552605611455
-4.040404040404041,0.01728629160452811,1.4432899320127035e-15,0.0,0.9999999999999986,0.8623502100560954
-3.9898989898989896,0.01816549250715569,5.184741524999481e-14,0.0,0.9999999999999482,0.8118451595510443
-3.9393939393939394,0.019088541989923387,1.5450973833708304e-12,0.0,0.9999999999984549,0.7613401090459941
-3.888888888888889,0.02005753653785041,3.733835463037849e-11,0.0,0.9999999999626616,0.7108350585409435
-3.8383838383838382,0.021074663483429394,7.317033645648507e-10,0.0,0.9999999992682966,0.6603300080358929
-3.787878787878788,0.022142203958132125,1.163531448966637e-08,0.0,0.9999999883646855,0.6098249575308428
-3.7373737373737375,0.02326253583088551,1.5024804722596485e-07,0.0,0.9999998497519528,0.5593199070257922
-3.686868686868687,0.024438136618332742,1.5769768820783625e-06,0.0,0.9999984230231179,0.5088148565207415
-3.6363636363636367,0.02567158634982702,1.3468562801377537e-05,0.0,0.9999865314371986,0.4583098060156914
-3.5858585858585856,0.026965570368090237,9.373817095970072e-05,0.0,0.9999062618290403,0.4078047555106403
-3.5353535353535355,0.0283228820443032,0.0005325984974493547,0.0,0.9994674015025506,0.35729970500559016
-3.484848484848485,0.029746425384074206,0.0024762264507567355,0.0,0.9975237735492433,0.30679465450053955
-3.4343434343434343,0.031239217498255256,0.009449804586947108,0.0,0.9905501954130529,0.25628960399548895
-3.383838383838384,0.03280439090994282,0.029721660705211983,0.0,0.970278339294788,0.20578455349043878
-3.333333333333333,0.03444519566621118,0.07747030419023049,0.0,0.9225296958097695,0.15527950298538773
-3.282828282828283,0.03616500122018774,0.1686056265441791,0.0,0.8313943734558209,0.10477445248033757
-3.2323232323232323,0.03796729804599774,0.30956457560475503,0.0,0.690435424395245,0.05426940197528696
-3.1818181818181817,0.039855698945889695,0.486247243318946,0.0,0.513752756681054,0.003764351470236349
-3.1313131313131315,0.04183394000551971,0.0,0.3342799907482873,0.6657200092517127,0.046740699034813815
-3.080808080808081,0.043905881149939006,0.0,0.1865369511188113,0.8134630488811887,0.09724574953986442
-3.0303030303030303,0.04607550624931942,0.0,0.08797426603944558,0.9120257339605544,0.14775080004491503
-2.9797979797979797,0.04834692271989779,0.0,0.03468975914012158,0.9653102408598784,0.19825585054996564
-2.9292929292929295,0.050724360562054344,0.0,0.011347050071424749,0.9886529499285752,0.2487609010550158
-2.878787878787879,0.05321217077391106,0.0,0.003061222760050576,0.9969387772399494,0.2992659515600664
-2.8282828282828283,0.05581482307538942,0.0,0.0006782379260715994,0.9993217620739284,0.349771002065117
-2.7777777777777777,0.0585369028743679,0.0,0.00012301344872756655,0.9998769865512724,0.40027605257016763
-2.7272727272727275,0.06138310740349217,0.0,1.821993740618009e-05,0.9999817800625939,0.4507811030752178
-2.676767676767677,0.06435824095339865,0.0,2.199612094358661e-06,0.9999978003879056,0.5012861535802684
