Starting training for 80000 episodes with Lagrangian method...
Ep 1000/80000, Eps: 0.985, AvgRew: -95560.58, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 1151.418
Ep 2000/80000, Eps: 0.970, AvgRew: -227833.38, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 2263.840
Ep 3000/80000, Eps: 0.955, AvgRew: -338425.17, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 3315.244
Ep 4000/80000, Eps: 0.941, AvgRew: -428090.49, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 4302.408
Ep 5000/80000, Eps: 0.926, AvgRew: -506020.69, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 5239.622
Ep 6000/80000, Eps: 0.911, AvgRew: -550058.18, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 6096.414
Ep 7000/80000, Eps: 0.896, AvgRew: -605052.01, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 6918.253
Ep 8000/80000, Eps: 0.881, AvgRew: -637269.89, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 7687.717
Ep 9000/80000, Eps: 0.866, AvgRew: -647798.64, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 8393.981
Ep 10000/80000, Eps: 0.852, AvgRew: -641193.06, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 9033.839
Ep 11000/80000, Eps: 0.837, AvgRew: -645083.33, AvgCost(S): 0.00, AvgTime(S): 0.000h, SuccRate(last 1k): 0.0%, Lambda: 9631.008
