比较类型,噪声类型,统计量,p值,显著性,效应大小,组别对比
总体检验,GAMM残差噪声,F=0.3442,0.9476403816264135,not_significant,,
总体检验,时间相关噪声,F=3.0971,0.002439360190584594,significant,,
总体检验,聚类内变异,F=3.0971,0.002439360190584594,significant,,
配对比较,GAMM残差,Cohen's d=0.0324,,,0.0324389638604829,第1组 vs 第2组
配对比较,时间相关,Cohen's d=-0.2725,,,-0.2724886914060994,第1组 vs 第2组
配对比较,GAMM残差,Cohen's d=-0.1981,,,-0.19805923886265703,第1组 vs 第3组
配对比较,时间相关,Cohen's d=-1.1874,,,-1.1873560421151264,第1组 vs 第3组
配对比较,GAMM残差,Cohen's d=0.1348,,,0.13475769501494367,第1组 vs 第4组
配对比较,时间相关,Cohen's d=-0.0947,,,-0.09471193895651393,第1组 vs 第4组
配对比较,GAMM残差,Cohen's d=nan,,,,第1组 vs 第5组
配对比较,时间相关,Cohen's d=-1.9437,,,-1.9436683494762668,第1组 vs 第5组
配对比较,GAMM残差,Cohen's d=-0.0884,,,-0.08842357124201429,第1组 vs 第6组
配对比较,时间相关,Cohen's d=0.4897,,,0.4896914819283953,第1组 vs 第6组
配对比较,GAMM残差,Cohen's d=-0.1899,,,-0.18986466288494439,第1组 vs 第7组
配对比较,时间相关,Cohen's d=-0.1633,,,-0.1632685585168492,第1组 vs 第7组
配对比较,GAMM残差,Cohen's d=nan,,,,第1组 vs 第8组
配对比较,时间相关,Cohen's d=nan,,,,第1组 vs 第8组
配对比较,GAMM残差,Cohen's d=0.0139,,,0.013945607381510494,第1组 vs 第9组
配对比较,时间相关,Cohen's d=-0.1602,,,-0.16023121291194342,第1组 vs 第9组
配对比较,GAMM残差,Cohen's d=-0.2420,,,-0.2419841830571429,第2组 vs 第3组
配对比较,时间相关,Cohen's d=-0.7970,,,-0.7970056124651798,第2组 vs 第3组
配对比较,GAMM残差,Cohen's d=0.1211,,,0.12111178279193312,第2组 vs 第4组
配对比较,时间相关,Cohen's d=0.1875,,,0.1874977044283346,第2组 vs 第4组
配对比较,GAMM残差,Cohen's d=nan,,,,第2组 vs 第5组
配对比较,时间相关,Cohen's d=-1.4226,,,-1.4225611790505392,第2组 vs 第5组
配对比较,GAMM残差,Cohen's d=-0.1390,,,-0.13898022928738268,第2组 vs 第6组
配对比较,时间相关,Cohen's d=0.6916,,,0.6916065131610776,第2组 vs 第6组
配对比较,GAMM残差,Cohen's d=-0.2216,,,-0.22163485253280044,第2组 vs 第7组
配对比较,时间相关,Cohen's d=0.1020,,,0.10201371191500366,第2组 vs 第7组
配对比较,GAMM残差,Cohen's d=nan,,,,第2组 vs 第8组
配对比较,时间相关,Cohen's d=nan,,,,第2组 vs 第8组
配对比较,GAMM残差,Cohen's d=-0.0216,,,-0.02164838269421888,第2组 vs 第9组
配对比较,时间相关,Cohen's d=0.1272,,,0.12717520465496038,第2组 vs 第9组
配对比较,GAMM残差,Cohen's d=0.2541,,,0.25410177623580876,第3组 vs 第4组
配对比较,时间相关,Cohen's d=1.1958,,,1.1958429743774808,第3组 vs 第4组
配对比较,GAMM残差,Cohen's d=nan,,,,第3组 vs 第5组
配对比较,时间相关,Cohen's d=-0.7182,,,-0.7182343067954152,第3组 vs 第5组
配对比较,GAMM残差,Cohen's d=0.0973,,,0.0973403366075905,第3组 vs 第6组
配对比较,时间相关,Cohen's d=1.8900,,,1.889973652316692,第3组 vs 第6组
配对比较,GAMM残差,Cohen's d=-0.0053,,,-0.005306953234020829,第3组 vs 第7组
配对比较,时间相关,Cohen's d=0.9017,,,0.9017217470680888,第3组 vs 第7组
配对比较,GAMM残差,Cohen's d=nan,,,,第3组 vs 第8组
配对比较,时间相关,Cohen's d=nan,,,,第3组 vs 第8组
