组别,BMI区间,真实达标时间,预测均值,预测中位数,偏差,RMSE,MAE,标准差,CI_2.5%,CI_97.5%,检测成功率
1,"BMI(标准化)∈[-1.471, 2.327]",15.151248862247414,15.619,16.0,0.46775113775258603,0.7580436180516521,0.6346327434790535,0.5965224220429606,15.0,17.0,1.0
2,"BMI(标准化)∈[-1.105, 1.523]",18.487266483566724,18.785,19.0,0.2977335164332757,0.8783053266420077,0.7531765933901144,0.8263020029020866,17.0,20.0,1.0
3,"BMI(标准化)∈[-1.186, 3.726]",11.082850841861763,11.789,12.0,0.7061491581382366,0.8155523487424586,0.7411122134039009,0.4080183819388533,11.0,12.0,1.0
4,"BMI(标准化)∈[-1.410, 2.274]",15.99834867014881,16.428,16.0,0.4296513298511915,0.7716322085313032,0.5414696835675598,0.6409492959665374,15.0,18.0,1.0
5,"BMI(标准化)∈[-0.728, 1.023]",19.803522406237082,20.013,20.0,0.2094775937629194,0.9832150641079,0.7898430964432097,0.9606409318782954,18.0,22.0,1.0
6,"BMI(标准化)∈[4.215, 4.215]",5.3405176291404555,10.0,10.0,4.6594823708595445,4.6594823708595445,4.659482370859544,0.0,10.0,10.0,1.0
7,"BMI(标准化)∈[-1.890, 2.605]",13.556854392542487,14.059,14.0,0.5021456074575124,0.6705737924262137,0.5812189311985462,0.4444310970217993,13.0,15.0,1.0
8,"BMI(标准化)∈[-0.975, 1.350]",17.696122306955907,18.125,18.0,0.4288776930440932,0.9040525845274839,0.7459343712125441,0.7958486036929386,17.0,19.0,1.0
9,"BMI(标准化)∈[-1.343, 1.078]",17.008142568562633,17.433,17.0,0.424857431437367,0.8366688933189503,0.6113419878796306,0.720771114848535,16.0,19.0,1.0
10,"BMI(标准化)∈[-3.857, 4.845]",8.876726240805414,10.0,10.0,1.1232737591945856,1.1232737591945858,1.1232737591945856,0.0,10.0,10.0,1.0
