C_min=696.3333,  baseline=810.6167,  budget=-114.2834
在费用约束下无可行超速方案，维持限速行驶。

基准（限速）费用      : 810.6167 元
基准（限速）时间      : 10.8333 小时
其他路径最小费用      : 696.3333 元

===== 结果 =====
最短可行时间         : 10.8333 小时
对应总费用           : 810.6167 元

路线一超速方案 (u->v | 限速 | 超速% | 实际速 | Δcost   | Δtime)
  1->2   |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
  2->12  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 12->13  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 13->14  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 14->24  |  60km/h |   0% |   60.00km/h |  +0.0000 |  +0.0000
 24->25  |  60km/h |   0% |   60.00km/h |  +0.0000 |  +0.0000
 25->35  | 120km/h |   0% |  120.00km/h |  +0.0000 |  +0.0000
 35->45  | 120km/h |   0% |  120.00km/h |  +0.0000 |  +0.0000
 45->55  | 120km/h |   0% |  120.00km/h |  +0.0000 |  +0.0000
 55->56  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 56->57  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 57->58  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 58->59  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 59->69  |  40km/h |   0% |   40.00km/h |  +0.0000 |  +0.0000
 69->79  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 79->89  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 89->90  |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
 90->100 |  90km/h |   0% |   90.00km/h |  +0.0000 |  +0.0000
