eid,bracket,t_hr,cost,gas_cost,food_cost,toll_cost,exp_fine
0,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
0,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
0,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
0,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
1,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
1,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
1,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
1,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
2,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
2,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
2,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
2,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
3,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
3,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
3,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
3,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
4,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
4,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
4,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
4,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
5,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
5,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
5,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
5,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
6,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
6,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
6,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
6,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
7,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
7,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
7,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
7,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
8,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
8,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
8,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
8,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
9,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
9,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
9,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
9,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
10,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
10,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
10,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
10,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
11,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
11,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
11,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
11,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
12,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
12,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
12,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
12,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
13,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
13,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
13,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
13,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
14,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
14,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
14,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
14,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
15,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
15,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
15,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
15,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
16,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
16,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
16,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
16,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
17,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
17,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
17,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
17,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
18,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
18,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
18,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
18,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
19,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
19,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
19,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
19,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
20,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
20,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
20,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
20,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
21,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
21,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
21,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
21,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
22,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
22,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
22,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
22,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
23,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
23,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
23,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
23,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
24,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
24,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
24,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
24,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
25,0.0000,0.5556,40.2111,29.1000,11.1111,0.0000,0.0000
25,0.2000,0.4630,153.3588,33.4650,9.2593,0.0000,110.6346
25,0.5000,0.3704,231.9346,40.0125,7.4074,0.0000,184.5147
25,0.7000,0.3268,1044.9186,44.3775,6.5359,0.0000,994.0052
26,0.0000,0.8333,38.4917,21.8250,16.6667,0.0000,0.0000
26,0.2000,0.6944,51.1452,24.7350,13.8889,0.0000,12.5213
26,0.5000,0.5556,74.0716,29.1000,11.1111,0.0000,33.8604
26,0.7000,0.4902,242.0718,32.0100,9.8039,0.0000,200.2579
27,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
27,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
27,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
27,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
28,0.0000,1.2500,41.9750,16.9750,25.0000,0.0000,0.0000
28,0.2000,1.0417,46.0090,18.9150,20.8333,0.0000,6.2606
28,0.5000,0.8333,61.0653,21.8250,16.6667,0.0000,22.5736
28,0.7000,0.7353,158.6256,23.7650,14.7059,0.0000,120.1547
29,0.0000,0.4167,69.7083,36.3750,8.3333,25.0000,0.0000
29,0.2000,0.3472,221.6522,42.1950,6.9444,25.0000,147.5128
29,0.5000,0.2778,265.9953,50.9250,5.5556,25.0000,184.5147
29,0.7000,0.2451,1577.6547,56.7450,4.9020,25.0000,1491.0077
